ID;Categorie;Nom;Description;Prix;NomPhoto
21080;Cigarettes;Elixyr Plus X-Type 8*25;Format 8*25;57.60;21080_elixyr_plus_x_type_8_25.jpg
20939;Cigarettes;Elixyr Red 10*20;Format 10*20;61.00;20939_elixyr_red_10_20.jpg
20956;Cigarettes;Elixyr Red 100s 10*20;Format 10*20;61.00;20956_elixyr_red_100s_10_20.jpg
20982;Cigarettes;Elixyr Red 4*50;Format 4*50;54.40;20982_elixyr_red_4_50.jpg
20979;Cigarettes;Elixyr Red 5*40;Format 5*40;54.50;20979_elixyr_red_5_40.jpg
20903;Cigarettes;Elixyr Red 8*25;Format 8*25;57.60;20903_elixyr_red_8_25.jpg
20902;Cigarettes;Elixyr Red 8*30;Format 8*30;67.20;20902_elixyr_red_8_30.jpg
20900;Cigarettes;Fortuna Blue 8*25;Format 8*25;57.60;20900_fortuna_blue_8_25.jpg
21172;Cigarettes;Fortuna Red 6*50;Format 6*50;83.40;21172_fortuna_red_6_50.jpg
20901;Cigarettes;Fortuna Red 8*25;Format 8*25;57.60;20901_fortuna_red_8_25.jpg
22463;Cigarettes;Gauloises Additivs Free Red 10*20;Format 10*20;65.00;22463_gauloises_additivs_free_r.jpg
20899;Cigarettes;Gauloises Blondes Blue 10*20;Format 10*20;67.00;20899_gauloises_blondes_blue_10.jpg
21147;Cigarettes;Gauloises Blondes Blue 6*50;Format 6*50;90.00;21147_gauloises_blondes_blue_6_.jpg
20952;Cigarettes;Gauloises Blondes Blue 8*25;Format 8*25;66.40;20952_gauloises_blondes_blue_8_.jpg
20978;Cigarettes;Gauloises Blondes Blue 8*30;Format 8*30;77.60;20978_gauloises_blondes_blue_8_.jpg
21023;Cigarettes;Gauloises Blondes Red 10*20;Format 10*20;67.00;21023_gauloises_blondes_red_10_.jpg
21050;Cigarettes;Gauloises Blondes Red 8*25;Format 8*25;66.40;21050_gauloises_blondes_red_8_2.jpg
21049;Cigarettes;Gauloises Blondes Red 8*30;Format 8*30;77.60;21049_gauloises_blondes_red_8_3.jpg
20953;Cigarettes;Gauloises Brunes 10*20;Format 10*20;82.00;20953_gauloises_brunes_10_20.jpg
21065;Cigarettes;Gauloises Brunes Filtre 10*20;Format 10*20;82.00;21065_gauloises_brunes_filtre_1.jpg
21076;Cigarettes;Gauloises Caporal Brunes 8*25;Format 8*25;80.00;21076_gauloises_caporal_brunes_.jpg
21280;Cigarettes;Gauloises Gold 8*25;Format 8*25;62.40;21280_gauloises_gold_8_25.jpg
21445;Cigarettes;Gitanes Filtre 10*20;Format 10*20;85.00;21445_gitanes_filtre_10_20.jpg
20898;Cigarettes;John Player Additive Free 8*25;Format 8*25;59.20;20898_john_player_additive_free.jpg
20897;Cigarettes;John Player Special Black 10*20;Format 10*20;62.00;20897_john_player_special_black.jpg
22787;Cigarettes;John Player Special Black 100s 10*20;Format 10*20;60.00;22787_john_player_special_black.jpg
21156;Cigarettes;John Player Special Blue 10*20;Format 10*20;62.00;21156_john_player_special_blue_.jpg
21018;Cigarettes;John Player Special Blue 8*25;Format 8*25;59.20;21018_john_player_special_blue_.jpg
21017;Cigarettes;John Player Special Blue 8*30;Format 8*30;68.80;21017_john_player_special_blue_.jpg
21219;Cigarettes;John Player Special Fresh 10*20;Format 10*20;62.00;21219_john_player_special_fresh.jpg
20995;Cigarettes;John Player Special Red 10*20;Format 10*20;62.00;20995_john_player_special_red_1.jpg
21154;Cigarettes;John Player Special Red 4*40;Format 4*40;44.80;21154_john_player_special_red_4.jpg
21015;Cigarettes;John Player Special Red 6*50;Format 6*50;84.00;21015_john_player_special_red_6.jpg
21037;Cigarettes;John Player Special Red 8*25;Format 8*25;59.20;21037_john_player_special_red_8.jpg
20940;Cigarettes;John Player Special Red 8*30;Format 8*30;68.80;20940_john_player_special_red_8.jpg
20951;Cigarettes;Karelia Slims 10*20;Format 10*20;55.00;20951_karelia_slims_10_20.jpg
21069;Cigarettes;Karelia Slims Blue 10*20;Format 10*20;55.00;21069_karelia_slims_blue_10_20.jpg
14970;Cigarettes;Karelia Slims Cream Color 10*20;Format 10*20;55.00;14970_karelia_slims_cream_color.jpg
21171;Cigarettes;Karelia Slims Green 10*20;Format 10*20;55.00;21171_karelia_slims_green_10_20.jpg
21070;Cigarettes;Kent Surround 10*20;Format 10*20;75.00;21070_kent_surround_10_20.jpg
20896;Cigarettes;Kent Surround 100s 10*20;Format 10*20;76.00;20896_kent_surround_100s_10_20.jpg
21305;Cigarettes;Kent White Box 10*20;Format 10*20;75.00;21305_kent_white_box_10_20.jpg
20888;Cigarettes;Lm Blue Label 10*20;Format 10*20;67.00;20888_lm_blue_label_10_20.jpg
20964;Cigarettes;Lm Blue Label 8*25;Format 8*25;66.40;20964_lm_blue_label_8_25.jpg
21001;Cigarettes;Lm Original Label 8*25;Format 8*25;68.80;21001_lm_original_label_8_25.jpg
21151;Cigarettes;Lm Original Label 8*30;Format 8*30;80.00;21151_lm_original_label_8_30.jpg
20889;Cigarettes;Lm Red Label 10*20;Format 10*20;67.00;20889_lm_red_label_10_20.jpg
22513;Cigarettes;Lm Red Label 5*40;Format 5*40;60.00;22513_lm_red_label_5_40.jpg
21011;Cigarettes;Lm Red Label 8*25;Format 8*25;66.40;21011_lm_red_label_8_25.jpg
21036;Cigarettes;Lm Red Label 8*30;Format 8*30;80.00;21036_lm_red_label_8_30.jpg
21180;Cigarettes;Lucky Strike Auth Blue 10*20;Format 10*20;68.00;21180_lucky_strike_auth_blue_10.jpg
21067;Cigarettes;Lucky Strike Blue 10*20;Format 10*20;65.00;21067_lucky_strike_blue_10_20.jpg
20963;Cigarettes;Lucky Strike Blue 8*25;Format 8*25;65.60;20963_lucky_strike_blue_8_25.jpg
20998;Cigarettes;Lucky Strike Ice 10*20;Format 10*20;68.00;20998_lucky_strike_ice_10_20.jpg
21025;Cigarettes;Lucky Strike Ice Green 10*20;Format 10*20;68.00;21025_lucky_strike_ice_green_10.jpg
20890;Cigarettes;Lucky Strike Red 10*20;Format 10*20;68.00;20890_lucky_strike_red_10_20.jpg
21114;Cigarettes;Lucky Strike Red 5*40;Format 5*40;61.00;21114_lucky_strike_red_5_40.jpg
22640;Cigarettes;Lucky Strike Red 6*50;Format 6*50;90.00;22640_lucky_strike_red_6_50.jpg
20891;Cigarettes;Lucky Strike Red 8*25;Format 8*25;65.60;20891_lucky_strike_red_8_25.jpg
21177;Cigarettes;Lucky Strike Red 8*30;Format 8*30;76.80;21177_lucky_strike_red_8_30.jpg
21078;Cigarettes;Lucky Strike Red Additive Free 10*20;Format 10*20;68.00;21078_lucky_strike_red_additive.jpg
21271;Cigarettes;Lucky Strike Red Soft 8*25;Format 8*25;74.40;21271_lucky_strike_red_soft_8_2.jpg
21012;Cigarettes;Mademoiselle Blanche 10*20;Format 10*20;59.00;21012_mademoiselle_blanche_10_2.jpg
20965;Cigarettes;Mademoiselle La Bleue 10*20;Format 10*20;59.00;20965_mademoiselle_la_bleue_10_.jpg
21464;Cigarettes;Mademoiselle La Bleue 10*40;Format 10*40;109.00;21464_mademoiselle_la_bleue_10_.jpg
21026;Cigarettes;Mademoiselle La Fresh 10*20;Format 10*20;59.00;21026_mademoiselle_la_fresh_10_.jpg
21240;Cigarettes;Mademoiselle La Fusion 10*20;Format 10*20;58.00;21240_mademoiselle_la_fusion_10.jpg
21184;Cigarettes;Mademoiselle La Rose 10*20;Format 10*20;59.00;21184_mademoiselle_la_rose_10_2.jpg
20816;Cigarettes;Marlboro 10*20;Format 10*20;77.00;20816_marlboro_10_20.jpg
20893;Cigarettes;Marlboro 100s 10*20;Format 10*20;78.00;20893_marlboro_100s_10_20.jpg
21014;Cigarettes;Marlboro 8*25;Format 8*25;76.80;21014_marlboro_8_25.jpg
